OUTLET_CODE,SALES_UNITS,UNIT_PTR,FREQUENCY,PRODUCT_CODE_ENCODED,CLUSTER
OL10659,11.884615384615385,44.731518476017634,26,59.15384615384615,0
OL10660,19.384615384615383,7.898351649647437,13,45.69230769230769,0
OL10661,7.335365853658536,133.28116751194824,328,46.640243902439025,1
OL10662,15.2,8.035714287833335,5,46.8,0
OL10663,4.81203007518797,120.70439898959744,133,50.902255639097746,1
OL10665,3.3333333333333335,155.61728394891975,54,36.48148148148148,1
OL10668,14.791666666666666,11.495535713899102,24,38.958333333333336,0
OL10669,9.705882352941176,45.378151259056374,17,34.294117647058826,0
OL10670,4.241379310344827,102.01858485757184,29,50.689655172413794,0
OL10671,17.37037037037037,32.86135161072531,27,55.629629629629626,0
OL10672,16.605263157894736,12.574760767861841,38,58.578947368421055,0
OL10673,8.03225806451613,81.74172602071238,31,51.45161290322581,0
OL10675,16.916666666666668,58.156114721614586,12,57.583333333333336,0
OL10676,18.772727272727273,8.455086581536753,66,52.21212121212121,0
OL10677,22.61904761904762,19.982993198824115,21,48.666666666666664,0
OL10679,13.7,23.517316018955558,30,46.56666666666667,0
OL10681,8.823529411764707,68.1779984704657,17,44.23529411764706,0
OL10682,13.913793103448276,25.981583073328594,174,50.55172413793103,0
OL10683,20.537815126050422,7.9370839253399454,119,49.260504201680675,0
OL10684,4.5,118.04570429312501,26,47.53846153846154,0
OL10686,12.826086956521738,9.354884246884058,23,45.21739130434783,0
OL10687,1.0,131.8181818,1,77.0,0
OL10688,24.0,4.4642857125,1,27.0,0
OL10689,12.714285714285714,20.533395177619045,7,44.57142857142857,0
OL10691,15.695652173913043,13.48461321603261,23,53.21739130434783,0
OL10692,16.0,8.92857143125,2,33.0,0
OL10693,5.384615384615385,87.8396603418029,26,38.42307692307692,0
OL10694,20.666666666666668,17.82039665835762,129,50.86046511627907,0
OL10695,19.58823529411765,8.613445379948097,34,59.088235294117645,0
OL10696,9.34020618556701,83.2866403346394,291,46.21993127147766,1
OL10697,18.6,13.45129870207647,25,54.2,0
OL10698,19.555555555555557,8.33333333507716,27,46.77777777777778,0
OL10699,23.07894736842105,8.928571430370067,76,56.36842105263158,0
OL10701,16.192307692307693,12.613011989451358,26,51.26923076923077,0
OL10702,23.428571428571427,5.420918367118055,14,47.214285714285715,0
OL10703,17.379310344827587,8.83620689838362,29,52.310344827586206,0
OL10707,14.285714285714286,6.972789117083334,21,59.57142857142857,0
OL10709,6.2181372549019605,158.51606930875306,408,42.77205882352941,1
OL10710,28.0,7.5892857141666665,10,55.2,0
OL10711,28.0,6.6964285703125,2,47.0,0
OL10712,17.103448275862068,8.897783253663794,29,59.62068965517241,0
OL10713,30.26086956521739,7.7251552797826095,23,53.391304347826086,0
OL10714,13.451612903225806,26.22800586663702,31,51.225806451612904,0
OL10715,10.75,234.52516233059896,8,45.125,1
OL10717,17.64,118.11493506152082,25,55.72,0
OL10718,17.933333333333334,18.652597405111113,15,54.46666666666667,0
OL10721,3.2625,135.068790582,80,45.475,1
OL10722,13.0,25.105519477374386,8,44.0,0
OL10723,9.0,54.009740265625,4,61.0,0
OL10724,19.766666666666666,11.631493508250001,30,56.06666666666667,0
OL10725,19.428571428571427,8.290816328125,7,53.57142857142857,0
OL10726,7.024390243902439,187.7811213205437,41,49.829268292682926,1
OL10727,18.75862068965517,6.157635468390804,29,46.55172413793103,0
OL10728,18.25,6.603422619592014,48,58.354166666666664,0
OL10729,16.666666666666668,24.134199136458335,3,42.666666666666664,0
OL10730,20.0,8.1845238109375,6,47.833333333333336,0
OL10732,4.69172932330827,147.12711160869674,133,35.91729323308271,1
OL10733,32.0,8.928571428125,1,35.0,0
OL10735,19.0,40.800865786631945,6,55.333333333333336,0
OL10736,26.0,18.064574315347222,9,55.333333333333336,0
OL10737,24.8125,53.971692368404945,32,46.96875,0
OL10738,16.63157894736842,6.578947369199561,19,59.473684210526315,0
OL10739,6.333333333333333,106.00649349375,3,74.66666666666667,0
OL10741,23.0,64.67291967457561,27,52.0,0
OL10742,5.0,134.85528756746427,35,39.25714285714286,1
OL10743,15.571428571428571,48.631725398154764,14,64.78571428571429,0
OL10744,30.75,43.98944805145833,4,50.5,0
OL10746,31.923076923076923,133.84740260056088,13,38.92307692307692,1
OL10748,4.153846153846154,150.9243796756403,481,48.63617463617464,1
OL10751,3.9,85.64989177000695,120,58.05833333333333,0
OL10752,18.90909090909091,7.305194806003788,11,45.09090909090909,0
OL10753,28.0,105.04329002719908,3,74.0,0
OL10754,46.869565217391305,7.142857143020618,23,56.08695652173913,0
OL10755,14.5,5.5803571432291665,8,44.5,0
OL10756,15.92,6.8928571438095245,25,50.64,0
OL10757,17.454545454545453,8.92857143096591,11,45.72727272727273,0
